Sam,2,5,3
Jesse,1,8,4
Pentac,1,7,4
Capen,1,5,1
Audrey,,5,5
Ollie,,,
Fuzzy,,,
Patrick,,,
Flashpoint,,,1
Clayton,,,1
Gillian,,,1
Darthur,,,1
Fro,,,1
Donald,,,3
Arcturus,,,5
